"Player Id","Ign","Team"
8996,"admiral","Nabemono Babies"
15956,"Admiral00f","Team Aquiver"
7634,"Adn","HoryJin Blue"
14309,"ADN","Gamer Guy Bath Water"
20940,"ADN","Camioneros Valorant Club"
1503,"adnani",""
29061,"adnaPBackwards","UH Premiere"
16303,"adome","Team Frosty"
871,"adonis","One'd Gaming"
19987,"Adonis (deleted)",""
32698,"Adorable Cat","THB"
27421,"AdorableEgoist","Awaken (Eu)"
27119,"ADOR luna","Adore Esports"
27120,"ADOR vee","Adore Esports"
10967,"ADOUBE","FULLY"
10417,"Adr1nho",""
3136,"Adrean","BurstLimit"
7888,"Adrean (deleted)",""
14590,"ADRE ari","Adore Esports"
4144,"ADRENALINE","Team Fish Taco"
5531,"AÐRENALiNE","get coached"
23824,"Adreno","Rampage Esports"
27983,"ADRE Nyx","Adore Academy"
27984,"ADRE Sila","Adore Academy"
5774,"adri","INTERPOL"
22587,"Adrian (deleted)",""
26256,"AdrianL","God Puggers"
290,"Adriantje","Mix Mantis"
5372,"adriantjeee (deleted)",""
28327,"adrii","Only The Bagarre"
956,"adrnking","Alter Ego"
6927,"Ads","Boulette Toxic"
27343,"AdS","No Name (ME)"
24556,"Adsafaras","Kyodai X"
27,"aduka","TODAK"
23677,"Adum","UNLV Scarlet"
17171,"Aduu","Regal E-Sports"
4661,"Advance","I lost"
3531,"adverso","00Nation"
2001,"advice",""
21193,"advise","Team Aurous"
