"Ign","Team","Agent","Picks","Matches","Percentage"
"vong","FOKUS (ex)","Astra",1,12,"8.33"
"vong","FOKUS (ex)","Chamber",1,12,"8.33"
"curry","Cloud9 (ex)","Brimstone",1,17,"5.88"
"curry","Cloud9 (ex)","Sova",1,17,"5.88"
"vow","Team T5 (ex)","Sage",1,22,"4.55"
"CTC","Los Grandes (ex)","Fade",1,19,"5.26"
"CTC","Los Grandes (ex)","KAY/O",1,19,"5.26"
"CTC","Los Grandes (ex)","Yoru",1,19,"5.26"
"crws","XERXIA Esports (ex)","Astra",1,61,"1.64"
"W1nner","Griffin E-Sports","Astra",1,16,"6.25"
"corey","TSM (ex)","Jett",1,10,"10.00"
"Alex","Next eSports (ex)","Raze",1,4,"25.00"
"wait","KRÜ Esports (si)","Skye",1,1,"100.00"
"wannafly","Made in Thailand","Cypher",1,28,"3.57"
"corey","TSM (ex)","Cypher",1,10,"10.00"
"corey","TSM (ex)","Raze",1,10,"10.00"
"大西大和","SETOUCHI ENLIFE (ex)","Raze",1,2,"50.00"
"coco","Oasis Gaming","KAY/O",1,4,"25.00"
"Wavy","CNJ Esports","Breach",1,24,"4.17"
"coco","Oasis Gaming","Killjoy",1,4,"25.00"
"cNed","Acend (ex)","KAY/O",1,37,"2.70"
"Citrus7","SchwarzerLand","Jett",1,2,"50.00"
"Citrus7","SchwarzerLand","Viper",1,2,"50.00"
"Chronicle","M3 Champions (ex)","Neon",1,81,"1.23"
"Wenty","GoNGo Prince (ex)","Raze",1,7,"14.29"
"Wenty","GoNGo Prince (ex)","Cypher",1,7,"14.29"
"Zest","DRX","Astra",1,91,"1.10"
"Wenty","GoNGo Prince (ex)","Viper",1,7,"14.29"
"akashi","CERBERUS Esports (ex)","Sage",1,15,"6.67"
"Wenty","Tartarus (ex)","Killjoy",1,14,"7.14"
"Chronicle","Gambit Esports (ex)","Chamber",1,5,"20.00"
"ZmjjKK","EDward Gaming","Raze",1,5,"20.00"
"Wild0reoo","Oasis Gaming","Viper",1,4,"25.00"
"Wild0reoo","Oasis Gaming","Skye",1,4,"25.00"
"Wild0reoo","Oasis Gaming","Astra",1,4,"25.00"
"Wild0reoo","Oasis Gaming","Chamber",1,4,"25.00"
"CHICHOO","EDward Gaming","Astra",1,5,"20.00"
"CHICHOO","EDward Gaming","Omen",1,5,"20.00"
"CHICHOO","EDward Gaming","Sage",1,5,"20.00"
"Akame","Jadeite","Raze",1,8,"12.50"
"Chibab","Maru Gaming","Raze",1,58,"1.72"
"chase","Gamelanders Blue (ex)","Reyna",1,24,"4.17"
"cauanzin","Ninjas in Pyjamas (ex)","Fade",1,66,"1.52"
"C1nder","SCARZ (ex)","Chamber",1,5,"20.00"
"C0M","Evil Geniuses","Killjoy",1,23,"4.35"
"BuZz","DRX","Omen",1,91,"1.10"
"BuZz","DRX","Brimstone",1,91,"1.10"
"BuZz","DRX","Cypher",1,91,"1.10"
"BuZz","DRX","Raze",1,91,"1.10"
"Brofeld","Jadeite","Fade",1,8,"12.50"
"Brofeld","Jadeite","KAY/O",1,8,"12.50"
"Brofeld","Jadeite","Brimstone",1,8,"12.50"
"Brofeld","Jadeite","Cypher",1,8,"12.50"
"Brinks","Gamelanders Blue (si)","Skye",1,9,"11.11"
"Brinks","Gamelanders Blue (si)","Breach",1,9,"11.11"
"WKN","Meta Gaming (ex)","Breach",1,10,"10.00"
"WKN","Meta Gaming (ex)","Sova",1,10,"10.00"
"brawk","Ghost Gaming (ex)","Fade",1,15,"6.67"
"Wonjina","Next eSports","Sova",1,4,"25.00"
"Wonjina","Next eSports","Omen",1,4,"25.00"
"aimDLL","BBL Esports","Sage",1,26,"3.85"
"大西大和","SETOUCHI ENLIFE (ex)","Skye",1,2,"50.00"
"braveaf","FNATIC (ex)","Breach",1,20,"5.00"
"BP","Veronica7","Sova",1,5,"20.00"
"Boostio","Evil Geniuses","Phoenix",1,35,"2.86"
"adrnking","Alter Ego","Reyna",1,22,"4.55"
"40pingSterry","SETOUCHI ENLIFE","Viper",1,2,"50.00"
"Boo","OG LDN UTD (ex)","Breach",1,21,"4.76"
"wyz","FUSION","Astra",1,14,"7.14"
"wyz","FUSION","Chamber",1,14,"7.14"
"bnj","9z Team (si)","Sage",1,7,"14.29"
"bnj","9z Team (si)","Sova",1,7,"14.29"
"bmVz","Fancy United Esports (ex)","Chamber",1,12,"8.33"
"xand","Ninjas in Pyjamas (ex)","Skye",1,66,"1.52"
"bmVz","Fancy United Esports (ex)","Skye",1,12,"8.33"
"bmVz","Fancy United Esports (ex)","Sova",1,12,"8.33"
"ZONBee","GyoGun","Viper",1,2,"50.00"
"bmVz","Fancy United Esports (ex)","Cypher",1,12,"8.33"
"blaZek1ng","BOOM Esports","Omen",1,45,"2.22"
"Blas","NAOS Esports","Chamber",1,4,"25.00"
"Blas","NAOS Esports","Killjoy",1,4,"25.00"
"Xandrite","NORTHEPTION (ex)","Chamber",1,14,"7.14"
"Xdll","BLUE BEES.ESP (ex)","Viper",1,13,"7.69"
"Xdll","BLUE BEES.ESP (ex)","Skye",1,13,"7.69"
"bezn1","Ninjas in Pyjamas (ex)","Fade",1,66,"1.52"
"bezn1","Ninjas in Pyjamas (ex)","Astra",1,66,"1.52"
"Bazzi","On Sla2ers (si)","Sage",1,6,"16.67"
"prozin","Sharks Esports","Sage",1,9,"11.11"
"prozin","Sharks Esports","Skye",1,9,"11.11"
"Pro","South Built Esports (ex)","Sage",1,9,"11.11"
"PTC","FULL SENSE (ex)","Breach",1,11,"9.09"
"prince","Los Grandes (ex)","Killjoy",1,19,"5.26"
"pr0xy","Spear Gaming (ex)","Yoru",1,30,"3.33"
"Xeppaa","Cloud9","Sage",1,47,"2.13"
"pr0xy","Spear Gaming (ex)","Skye",1,30,"3.33"
"pr0xy","Spear Gaming (ex)","Jett",1,30,"3.33"
"pr0xy","Spear Gaming (ex)","Omen",1,30,"3.33"
"pr0xy","Spear Gaming (ex)","Sage",1,30,"3.33"
"Bazzi","On Sla2ers (si)","Sova",1,6,"16.67"
"Purp0","Acend (si)","Raze",1,3,"33.33"
"Bazzi","On Sla2ers (ex)","Neon",1,49,"2.04"
"Purp0","M3 Champions (ex)","Jett",1,1,"100.00"
"Puupop","Mariner","Killjoy",1,2,"50.00"
"Puupop","Mariner","Chamber",1,2,"50.00"
"pr0xy","Spear Gaming (ex)","Viper",1,30,"3.33"
"pr0xy","Spear Gaming (ex)","Breach",1,30,"3.33"
"pollo","Team Vikings (ex)","Chamber",1,9,"11.11"
"pollo","Team Vikings (ex)","Skye",1,9,"11.11"
"Bazzi","On Sla2ers (ex)","Reyna",1,49,"2.04"
"pyth","Bleed Esports (ex)","KAY/O",1,37,"2.70"
"pollo","Team Vikings (ex)","Reyna",1,9,"11.11"
"Bazzi","On Sla2ers (ex)","Breach",1,49,"2.04"
"pollo","Team Vikings (ex)","Raze",1,9,"11.11"
"Bangnan","DAMWON Gaming (ex)","Sage",1,28,"3.57"
"poised","Rise (ex)","Chamber",1,12,"8.33"
"Quick","FURIA","Skye",1,49,"2.04"
"poem","IGZIST","Viper",1,19,"5.26"
"xeta","Cloud9 (si)","Breach",1,2,"50.00"
"Poach","FaZe Clan (ex)","Sova",1,2,"50.00"
"Poach","FaZe Clan (ex)","Breach",1,2,"50.00"
"pleets","Los Grandes","Omen",1,19,"5.26"
"pleets","Los Grandes","Cypher",1,19,"5.26"
"raafa","Liberty (ex)","Brimstone",1,11,"9.09"
"pippi","Rebellion Arts","Sage",1,2,"50.00"
"raafa","Liberty (ex)","Fade",1,11,"9.09"
"xeta","Cloud9 (si)","Viper",1,2,"50.00"
"Xiaonuo","DeToNator","Skye",1,3,"33.33"
"pippi","Rebellion Arts","Killjoy",1,2,"50.00"
"ZONBee","GyoGun","Astra",1,2,"50.00"
"pho","Evil Geniuses (ex)","Sage",1,12,"8.33"
"pho","Evil Geniuses (ex)","Breach",1,12,"8.33"
"Phantom","FAV gaming","Skye",1,23,"4.35"
"pdr","Stars Horizon (ex)","KAY/O",1,8,"12.50"
"pdr","Stars Horizon (ex)","Sage",1,8,"12.50"
"pdr","INGAMING Esports (ex)","Chamber",1,9,"11.11"
"pdr","INGAMING Esports (ex)","Breach",1,9,"11.11"
"bang","100 Thieves","Skye",1,50,"2.00"
"Ran","SETOUCHI ENLIFE (ex)","Killjoy",1,2,"50.00"
"Ran","SETOUCHI ENLIFE (ex)","Chamber",1,2,"50.00"
"Rawkus","Sentinels (ex)","Breach",1,6,"16.67"
"Rawkus","Sentinels (ex)","Sova",1,6,"16.67"
"Rawkus","Sentinels (ex)","Brimstone",1,6,"16.67"
"pAura","BBL Esports (ex)","KAY/O",1,22,"4.55"
"pAura","BBL Esports (ex)","Skye",1,22,"4.55"
"ParkJJong","Team GP (ex)","Chamber",1,6,"16.67"
"ParkJJong","Team GP (ex)","Raze",1,6,"16.67"
"ParkJJong","Tartarus (si)","Fade",1,2,"50.00"
"Rb","DRX","Astra",1,91,"1.10"
"ParkJJong","Tartarus (si)","Sova",1,2,"50.00"
"Paint","Insomnia (ex)","Breach",1,3,"33.33"
"Pa1n","Focus e-Sports","Skye",1,2,"50.00"
"rDeeW","Bonkers(OCE) (ex)","Cypher",1,8,"12.50"
"rDeeW","Bonkers(OCE) (ex)","Sage",1,8,"12.50"
"rDeeW","Bonkers(OCE) (ex)","Jett",1,8,"12.50"
"Pa1n","Focus e-Sports","Sage",1,2,"50.00"
"rDeeW","ORDER (ex)","Breach",1,16,"6.25"
"rDeeW","ORDER (ex)","Cypher",1,16,"6.25"
"rDeeW","ORDER (ex)","Killjoy",1,16,"6.25"
"rDeeW","ORDER (ex)","Viper",1,16,"6.25"
"olzerr","PAMPAS (ex)","Brimstone",1,11,"9.09"
"olzerr","PAMPAS (ex)","Viper",1,11,"9.09"
"rDeeW","ORDER (ex)","Neon",1,16,"6.25"
"Redgar","Gambit Esports (ex)","Breach",1,5,"20.00"
"oikou","GyoGun (ex)","Sova",1,2,"50.00"
"Redgar","Gambit Esports (ex)","Skye",1,5,"20.00"
"oikou","GyoGun (ex)","Breach",1,2,"50.00"
"Obnoks","BIG (ex)","Omen",1,25,"4.00"
"Redgar","M3 Champions (ex)","Brimstone",1,81,"1.23"
"Num","AWS (ex)","Skye",1,2,"50.00"
"Num","AWS (ex)","Reyna",1,2,"50.00"
"nukkye","G2 Esports (Inactive) (ex)","Fade",1,57,"1.75"
"ban","Knights (ex)","Chamber",1,17,"5.88"
"Nozz","Bonkers(OCE) (ex)","Chamber",1,8,"12.50"
"Nozwerr","FURIA (ex)","Skye",1,49,"2.04"
"Redgar","M3 Champions","Brimstone",1,81,"1.23"
"Nozwerr","FURIA (ex)","Raze",1,49,"2.04"
"NoriseN","REJECT (ex)","Omen",1,21,"4.76"
"Redgar","M3 Champions","Astra",1,81,"1.23"
"NoriseN","Crest Gaming ZST (si)","Breach",1,1,"100.00"
"XiSTOU","SuperMassive (ex)","Chamber",1,11,"9.09"
"Redneval","CERBERUS Esports (ex)","Raze",1,8,"12.50"
"NicoMachine","Meta Gaming (ex)","Skye",1,10,"10.00"
"redwater877","Team T5","Sova",1,22,"4.55"
"badsitoww","Meta Gaming (ex)","Reyna",1,10,"10.00"
"NicoMachine","Meta Gaming (ex)","Raze",1,10,"10.00"
"Nexi","Rex Regum Qeon (ex)","Killjoy",1,8,"12.50"
"neth","Crazy Raccoon","Breach",1,40,"2.50"
"neT","The Guard","Cypher",1,55,"1.82"
"Reformed","Evil Geniuses","Brimstone",1,35,"2.86"
"NeruFi","REJECT (si)","Chamber",1,1,"100.00"
"NeruFi","Crest Gaming ZST","Skye",1,9,"11.11"
"Neal X","Insomnia (ex)","Reyna",1,3,"33.33"
"nAts","Gambit Esports (ex)","Cypher",1,5,"20.00"
"Reita","Crest Gaming ZST (si)","Fade",1,1,"100.00"
"Reita","REJECT (ex)","Raze",1,31,"3.23"
"myssen","Liberty","Astra",1,20,"5.00"
"mwzera","Keyd Stars (ex)","Chamber",1,60,"1.67"
"Reita","REJECT (ex)","Sage",1,31,"3.23"
"badsitoww","Meta Gaming (ex)","Killjoy",1,10,"10.00"
"badsitoww","Meta Gaming (ex)","Raze",1,10,"10.00"
"musashi","BIG (ex)","Fade",1,12,"8.33"
"murizzz","Keyd Stars (ex)","Reyna",1,60,"1.67"
"BABYBAY","FaZe Clan","Phoenix",1,37,"2.70"
"reooooo","Rebellion Arts","Sova",1,2,"50.00"
"reooooo","Rebellion Arts","Reyna",1,2,"50.00"
"munghoon","VPZ","Chamber",1,4,"25.00"
"munghoon","VPZ","Skye",1,4,"25.00"
"Munchkin","Crazy Raccoon (ex)","Breach",1,26,"3.85"
"REV1","Pentagon","Raze",1,5,"20.00"
"Muj","BBL Esports (ex)","Skye",1,2,"50.00"
"rez1v","Storks Phalanx","Cypher",1,4,"25.00"
"rez1v","Storks Phalanx","Sova",1,4,"25.00"
"B4nnba","Pentagon","Cypher",1,5,"20.00"
"Muj","BBL Esports (ex)","Sova",1,2,"50.00"
"MqsaaV","Mariner","Jett",1,2,"50.00"
"MqsaaV","Mariner","Reyna",1,2,"50.00"
"Moves","Team T5 (ex)","Reyna",1,22,"4.55"
"Moose","Shopify Rebellion","Omen",1,4,"25.00"
"RgLMeister","Keyd Stars (si)","Viper",1,6,"16.67"
"RgLMeister","Keyd Stars (si)","Brimstone",1,6,"16.67"
"Moose","Shopify Rebellion","Viper",1,4,"25.00"
"Moose","Luminosity Gaming (ex)","Chamber",1,33,"3.03"
