"Ign","Team","Acs","Matches"
"Keria","Spear Gaming",165,30
"EROC","EVA:e (ex)",165,3
"TiGG","Shopify Rebellion (ex)",165,4
"poised","FaZe Clan",165,37
"KadosuK","GyoGun (ex)",164,2
"SungJin","Spear Gaming (ex)",164,23
"Bonecold","Acend (ex)",164,13
"Hermes","Brimstone (ex)",164,7
"jotinha","SunXet Club (ex)",164,11
"Russ","Guild Esports (ex)",163,47
"v1nNy","Gamelanders Blue (ex)",163,15
"JREXXX","Insomnia (ex)",163,3
"FNS","OpTic Gaming (ex)",163,111
"SoGaTe","Tartarus (ex)",162,16
"NoriseN","Crest Gaming ZST (si)",162,1
"Glovee","SuperMassive (ex)",162,11
"Unnsto","EBRO Gaming (ex)",162,11
"Gunny","GoNGo Prince",162,5
"myssen","Liberty",162,20
"WKN","Meta Gaming (ex)",161,10
"redwater877","Team T5",161,22
"SoGaTe","Team GP (ex)",161,6
"Paint","Insomnia (ex)",161,3
"NoriseN","REJECT (ex)",160,21
"DippER","VPZ (ex)",160,4
"DOGAO","Movistar Optix",160,13
"axeLuvY","Alter Ego (ex)",160,22
"Felix","HolyMolly (ex)",160,26
"GODLIKE","World Game Star (ex)",160,57
"pAura","BBL Esports (ex)",159,22
"GwangUh","Maru Gaming (ex)",159,26
"Marky","Oasis Gaming",159,4
"SEIDER","FunPlus Phoenix (si)",159,10
"Rossy","TSM (ex)",159,10
"Leazo","9z Team",158,2
"frostmind","BOOM Esports (ex)",158,27
"Mited","FUSION",158,14
"RIPablo","IGZIST",158,19
"skyeSG","No Namers (ex)",158,5
"B1ngSu","Veronica7",158,5
"Misaya","Sengoku Gaming",157,11
"dinkzj","Natus Vincere (ex)",157,35
"RELAXING","TRIDENT (ex)",157,2
"shelbyN","EBRO Gaming (ex)",156,11
"roseaufy","Persija Esports",156,16
"Dreamas","Team Liquid (ex)",156,11
